Year;Country;Code;Item;ExportWeight_InTons;ExportValue_EUROs;ExportValue_inUSD;ImportWeight_InTons;ImportValue_inEUROs;ImportValue_inUSD
2018;Italien;WA88;Luftfahrzeuge, Raumfahrzeuge;1061,0;277573;324004;452,4;108008;127203
2018;Italien;WA89;Wasserfahrzeuge;69823,3;961663;1106578;17807,4;36159;42437
2018;Italien;WA90;Optische, photografische usw. Erzeugnisse;26131,1;3259568;3852779;21117,6;1027561;1215060
2018;Italien;WA98;Vollständige Fabrikationsanlagen;253,7;3403;4178;510,0;499;568
2018;Niederlande;WA27;Mineralische Brennstoffe usw.;32671239,6;10217828;12077060;69423060,2;25119828;29670969
2018;Niederlande;WA28;Anorganische chemische Erzeugnisse;2855317,5;532565;628885;1593274,6;533493;629947
2018;Niederlande;WA29;Organische chemische Erzeugnisse;2367549,0;2418034;2864418;3101790,6;3471515;4106218
2018;Niederlande;WA30;Pharmazeutische Erzeugnisse;37011,6;9452482;11183163;12244,9;9179594;10848148
2018;Niederlande;WA31;Düngemittel;343881,1;73077;86335;1028720,4;199656;236218
2018;Niederlande;WA33;Etherische Öle, Riech-, Schönheitsmittel;65593,0;554218;653976;49117,1;400147;471233
2018;Niederlande;WA36;Sprengstoffe, pyrotechnische Artikel usw.;4892,3;22554;26162;1626,5;3042;3604
2018;Niederlande;WA37;Photochemische Erzeugnisse;5397,9;55958;65911;23466,6;155926;183665
2018;Niederlande;WA38;Verschiedene Erzeugnisse der Chemischen Industrie;1355912,7;1711860;2021315;1692023,5;1696018;2004748
2018;Niederlande;WA72;Eisen und Stahl;3433609,1;2143455;2537534;3232991,8;2225400;2632862
2018;Niederlande;WA73;Waren aus Eisen oder Stahl;725090,0;1907966;2253853;765008,4;1389014;1640710
2018;Niederlande;WA83;Verschiedene Waren aus unedlen Metallen;43034,9;372756;440757;23826,5;131772;155524
2018;Niederlande;WA84;Maschinen, Apparate, mechanische Geräte;749771,5;10683611;12631276;340408,2;5976437;7051019
2018;Niederlande;WA85;Elektrotechnische Erzeugnisse;245052,9;7795257;9208553;118873,4;4612815;5436067
2018;Niederlande;WA86;Schienenfahrzeuge;17269,1;51874;61364;9818,7;33667;39696
2018;Niederlande;WA87;Kraftfahrzeuge, Landfahrzeuge;719239,1;7360729;8695935;436059,9;4207437;4965087
2018;Niederlande;WA88;Luftfahrzeuge, Raumfahrzeuge;865,1;690577;811155;885,8;152862;180766
2018;Niederlande;WA89;Wasserfahrzeuge;180163,8;294409;357819;60044,4;130034;154706
2018;Niederlande;WA90;Optische, photografische usw. Erzeugnisse;22776,8;4295225;5079079;10859,9;1566364;1849345
2018;Niederlande;WA98;Vollständige Fabrikationsanlagen;874,7;47300;55237;671,3;7310;8515
2018;Österreich;WA27;Mineralische Brennstoffe usw.;8206823,1;4486030;5285598;4511347,6;1719864;2016744
2018;Österreich;WA28;Anorganische chemische Erzeugnisse;994641,3;380369;449120;368728,0;263256;311365
2018;Österreich;WA29;Organische chemische Erzeugnisse;240472,2;449525;532400;190352,4;222288;263054
2018;Österreich;WA30;Pharmazeutische Erzeugnisse;36927,9;2073805;2450836;17170,2;1349386;1592829
2018;Österreich;WA31;Düngemittel;223185,9;73261;86919;382707,7;80997;95935
2018;Österreich;WA33;Etherische Öle, Riech-, Schönheitsmittel;56957,0;634370;748197;10983,0;169278;199699
2018;Österreich;WA36;Sprengstoffe, pyrotechnische Artikel usw.;2866,1;8686;10221;4836,1;9793;11564
2018;Österreich;WA37;Photochemische Erzeugnisse;1760,1;26448;31211;75,9;1136;1349
2018;Österreich;WA38;Verschiedene Erzeugnisse der Chemischen Industrie;669236,2;810711;957955;445008,5;365009;431969
2018;Österreich;WA72;Eisen und Stahl;1515580,0;1405114;1662206;2592542,5;2690588;3183137
2018;Österreich;WA73;Waren aus Eisen oder Stahl;675322,3;2078111;2457077;702707,9;1359707;1606575
2018;Österreich;WA83;Verschiedene Waren aus unedlen Metallen;45307,0;467447;552745;80253,0;454080;536935
2018;Österreich;WA84;Maschinen, Apparate, mechanische Geräte;625027,5;10298830;12170357;581385,4;7646461;9043140
2018;Österreich;WA85;Elektrotechnische Erzeugnisse;197921,6;6349178;7495154;189656,6;3821271;4516296
2018;Österreich;WA86;Schienenfahrzeuge;27209,5;413402;486746;32965,6;478010;565950
2018;Österreich;WA87;Kraftfahrzeuge, Landfahrzeuge;670908,2;7245511;8580331;613737,6;5060837;5985890
2018;Österreich;WA88;Luftfahrzeuge, Raumfahrzeuge;829,7;260320;307218;2263,1;230286;271775
2018;Österreich;WA89;Wasserfahrzeuge;1447,7;10560;12464;1928,1;23553;28602
2018;Österreich;WA90;Optische, photografische usw. Erzeugnisse;17975,9;1901531;2244500;8423,0;910934;1073727
2018;Österreich;WA98;Vollständige Fabrikationsanlagen;786,5;4201;5127;439,2;5461;6457
2018;Polen;WA27;Mineralische Brennstoffe usw.;2373585,0;1639058;1932078;2795156,7;885957;1045309
2018;Polen;WA28;Anorganische chemische Erzeugnisse;501198,8;417347;489671;519318,8;197105;232593
2018;Polen;WA29;Organische chemische Erzeugnisse;604872,4;789303;933833;637686,5;513087;606868
2018;Polen;WA30;Pharmazeutische Erzeugnisse;44092,2;1318353;1559804;20261,5;484173;570910
2018;Polen;WA31;Düngemittel;766812,3;134081;158152;625509,4;134112;158297
2018;Polen;WA33;Etherische Öle, Riech-, Schönheitsmittel;92743,5;652230;769310;79209,1;373867;441445
2018;Polen;WA36;Sprengstoffe, pyrotechnische Artikel usw.;1609,5;7017;8226;10874,9;12913;15238
2018;Polen;WA37;Photochemische Erzeugnisse;6118,7;51388;60751;85,3;4529;5344
2018;Polen;WA38;Verschiedene Erzeugnisse der Chemischen Industrie;619101,5;1338403;1585810;205939,8;368939;434170
2018;Polen;WA72;Eisen und Stahl;2876763,5;2178769;2575634;1945766,2;1147872;1356191
2018;Polen;WA73;Waren aus Eisen oder Stahl;547052,7;1695206;2002257;1222949,1;2286972;2700364
2018;Polen;WA83;Verschiedene Waren aus unedlen Metallen;113569,2;608787;719688;71154,5;411367;486945
2018;Polen;WA84;Maschinen, Apparate, mechanische Geräte;677620,3;10488937;12373888;846112,8;7074253;8353732
2018;Polen;WA85;Elektrotechnische Erzeugnisse;249614,0;6296496;7426560;377394,6;5987016;7066167
2018;Polen;WA86;Schienenfahrzeuge;30310,1;184302;217192;99694,8;419040;493068
2018;Polen;WA87;Kraftfahrzeuge, Landfahrzeuge;1134054,6;7295826;8634549;1091871,8;7490651;8840378
2018;Polen;WA88;Luftfahrzeuge, Raumfahrzeuge;566,6;93207;109386;221,9;14150;16425
2018;Polen;WA89;Wasserfahrzeuge;1377,3;22011;25881;4939,8;46046;54413
2018;Polen;WA90;Optische, photografische usw. Erzeugnisse;29315,3;1836042;2164671;22279,2;869864;1027858
2018;Polen;WA98;Vollständige Fabrikationsanlagen;83,3;2887;3420;0;0;0
2018;Vereinigtes Königreich;WA27;Mineralische Brennstoffe usw.;1358910,5;550186;653759;6507052,6;2462239;2909918
2018;Vereinigtes Königreich;WA28;Anorganische chemische Erzeugnisse;834065,5;437468;517300;361882,4;292636;345765
2018;Vereinigtes Königreich;WA29;Organische chemische Erzeugnisse;479594,1;1083543;1283789;966300,2;1259132;1481299
2018;Vereinigtes Königreich;WA30;Pharmazeutische Erzeugnisse;34950,5;4137334;4892380;11877,3;1907156;2253393
2018;Vereinigtes Königreich;WA31;Düngemittel;676100,5;129931;154017;27928,2;13156;15646
2018;Vereinigtes Königreich;WA33;Etherische Öle, Riech-, Schönheitsmittel;104698,8;741173;874193;48292,7;435359;515886
2018;Vereinigtes Königreich;WA36;Sprengstoffe, pyrotechnische Artikel usw.;610,3;15151;17787;4044,5;7740;9122
2018;Vereinigtes Königreich;WA37;Photochemische Erzeugnisse;6765,6;81202;95844;404,9;12281;14471
2018;Vereinigtes Königreich;WA38;Verschiedene Erzeugnisse der Chemischen Industrie;339035,4;945095;1116879;131014,3;1074004;1269262
2018;Vereinigtes Königreich;WA72;Eisen und Stahl;792261,5;709647;838171;554051,2;525929;621788
2018;Vereinigtes Königreich;WA73;Waren aus Eisen oder Stahl;339685,6;1218865;1440999;134143,2;412754;487915
2018;Vereinigtes Königreich;WA83;Verschiedene Waren aus unedlen Metallen;41551,4;444314;525287;8619,6;82954;98100
2018;Vereinigtes Königreich;WA84;Maschinen, Apparate, mechanische Geräte;603387,2;13230991;15638634;270925,2;4728179;5590964
2018;Vereinigtes Königreich;WA85;Elektrotechnische Erzeugnisse;181420,0;6186940;7303100;73395,3;3438876;4055839
2018;Vereinigtes Königreich;WA86;Schienenfahrzeuge;30007,1;935507;1116657;5517,2;33971;40265
2018;Vereinigtes Königreich;WA87;Kraftfahrzeuge, Landfahrzeuge;1749488,6;22541025;26755055;417356,2;5026243;5948234
2018;Vereinigtes Königreich;WA88;Luftfahrzeuge, Raumfahrzeuge;7334,5;2383217;2802765;6956,4;2678285;3168673
2018;Vereinigtes Königreich;WA89;Wasserfahrzeuge;257199,0;353023;415343;24697,7;39294;46978
2018;Vereinigtes Königreich;WA90;Optische, photografische usw. Erzeugnisse;28138,4;3224224;3809329;15072,7;1528310;1804257
2018;Vereinigtes Königreich;WA98;Vollständige Fabrikationsanlagen;822,9;24091;28931;4,0;409;466
2018;Schweiz;WA27;Mineralische Brennstoffe usw.;4418500,2;3140982;3712853;262074,4;331414;389442
2018;Schweiz;WA28;Anorganische chemische Erzeugnisse;265940,8;203207;240075;121142,7;54692;64436
2018;Schweiz;WA29;Organische chemische Erzeugnisse;440326,2;1161635;1373166;112481,7;4276109;5053799
2018;Schweiz;WA30;Pharmazeutische Erzeugnisse;29336,1;7040565;8322863;30963,9;8207200;9696329
2018;Schweiz;WA31;Düngemittel;138234,3;41108;48540;9483,9;4698;5574
2018;Schweiz;WA33;Etherische Öle, Riech-, Schönheitsmittel;30585,8;430818;509054;32992,1;813737;961321
2018;Schweiz;WA36;Sprengstoffe, pyrotechnische Artikel usw.;1798,3;19218;22780;1137,1;16091;18956
2018;Schweiz;WA37;Photochemische Erzeugnisse;1785,6;23472;27660;52,4;2787;3304
2018;Schweiz;WA38;Verschiedene Erzeugnisse der Chemischen Industrie;1172054,7;701540;829011;125207,4;395710;467719
2018;Schweiz;WA72;Eisen und Stahl;1221048,1;980309;1159992;684790,3;501148;592830
2018;Schweiz;WA73;Waren aus Eisen oder Stahl;346628,0;1368300;1616916;202411,8;955956;1130571
2018;Schweiz;WA83;Verschiedene Waren aus unedlen Metallen;17872,0;246732;291871;7241,4;112176;132521
2018;Schweiz;WA84;Maschinen, Apparate, mechanische Geräte;309953,4;6420171;7578375;205152,4;6052197;7147166
2018;Schweiz;WA85;Elektrotechnische Erzeugnisse;99919,7;3779999;4463725;102068,4;3265355;3858920
2018;Schweiz;WA86;Schienenfahrzeuge;40744,8;435006;515446;26846,3;317311;371756
2018;Schweiz;WA87;Kraftfahrzeuge, Landfahrzeuge;279687,7;4856216;5740016;152330,2;801118;947956
2018;Schweiz;WA88;Luftfahrzeuge, Raumfahrzeuge;505,5;301372;355331;458,5;123640;146893
2018;Schweiz;WA89;Wasserfahrzeuge;766,1;26188;30933;2522,3;16395;19418
2018;Schweiz;WA90;Optische, photografische usw. Erzeugnisse;14693,0;2285009;2698120;17482,9;3395339;4011208
2018;Schweiz;WA98;Vollständige Fabrikationsanlagen;12,6;385;438;0;0;0
2018;Vereinigte Staaten von Amerika;WA27;Mineralische Brennstoffe usw.;65159,8;115194;136370;15350053,0;3506413;4128819
2018;Vereinigte Staaten von Amerika;WA28;Anorganische chemische Erzeugnisse;587701,1;803227;950194;113829,8;468249;554678
2018;Vereinigte Staaten von Amerika;WA29;Organische chemische Erzeugnisse;484772,5;2338767;2762481;684552,5;1595968;1885688
2018;Vereinigte Staaten von Amerika;WA30;Pharmazeutische Erzeugnisse;51573,7;13367086;15825061;14890,4;6498834;7673539
2018;Vereinigte Staaten von Amerika;WA31;Düngemittel;227491,3;64030;75813;1336,4;1630;1913
2018;Vereinigte Staaten von Amerika;WA33;Etherische Öle, Riech-, Schönheitsmittel;23236,2;403361;476027;25493,3;423735;501159
2018;Vereinigte Staaten von Amerika;WA36;Sprengstoffe, pyrotechnische Artikel usw.;1427,8;89476;105428;406,1;15556;18383
2018;Vereinigte Staaten von Amerika;WA37;Photochemische Erzeugnisse;3029,7;147976;174979;4434,6;117200;138372
2018;Vereinigte Staaten von Amerika;WA38;Verschiedene Erzeugnisse der Chemischen Industrie;404470,3;1621973;1913200;135174,4;1857649;2193122
2018;Vereinigte Staaten von Amerika;WA72;Eisen und Stahl;933513,5;1031116;1217406;150028,5;218255;258148
2018;Vereinigte Staaten von Amerika;WA73;Waren aus Eisen oder Stahl;516386,3;1865036;2199872;43647,0;628892;742890
2018;Vereinigte Staaten von Amerika;WA83;Verschiedene Waren aus unedlen Metallen;33827,2;435711;514861;3450,8;97440;115042
2018;Vereinigte Staaten von Amerika;WA84;Maschinen, Apparate, mechanische Geräte;997891,3;24324574;28718692;189552,2;13879483;16371848
2018;Vereinigte Staaten von Amerika;WA85;Elektrotechnische Erzeugnisse;190333,8;9937772;11728825;68627,1;6868331;8113174
2018;Vereinigte Staaten von Amerika;WA86;Schienenfahrzeuge;4826,9;72262;85133;3136,7;12993;15359
2018;Vereinigte Staaten von Amerika;WA87;Kraftfahrzeuge, Landfahrzeuge;1466001,2;25552816;30141804;494324,6;5457391;6475527
2018;Vereinigte Staaten von Amerika;WA88;Luftfahrzeuge, Raumfahrzeuge;3567,9;2702780;3214262;5071,6;1798917;2133380
2018;Vereinigte Staaten von Amerika;WA89;Wasserfahrzeuge;67752,6;835188;1028389;1272,4;85499;100987
2018;Vereinigte Staaten von Amerika;WA90;Optische, photografische usw. Erzeugnisse;45570,4;9430159;11118290;33534,7;7765837;9161633
2018;Vereinigte Staaten von Amerika;WA98;Vollständige Fabrikationsanlagen;5850,6;103340;121605;0;0;0
2018;China;WA27;Mineralische Brennstoffe usw.;107938,5;224259;265225;206987,8;89583;104860
2018;China;WA28;Anorganische chemische Erzeugnisse;165730,3;729679;863604;287958,0;521415;611676
2018;China;WA29;Organische chemische Erzeugnisse;270163,0;1383075;1635159;495834,0;2689717;3182606
2018;China;WA30;Pharmazeutische Erzeugnisse;25572,9;2799256;3291838;28050,9;335236;396359
2018;China;WA31;Düngemittel;53875,9;25138;29982;792,5;512;612
2018;China;WA33;Etherische Öle, Riech-, Schönheitsmittel;10975,7;211725;249648;17609,0;192819;227521
2018;China;WA36;Sprengstoffe, pyrotechnische Artikel usw.;213,5;6366;7575;47714,3;122183;141331
2018;China;WA37;Photochemische Erzeugnisse;938,8;17791;21017;1668,5;56960;67574
2018;China;WA38;Verschiedene Erzeugnisse der Chemischen Industrie;183124,5;1063713;1257325;108339,9;333020;393055
2018;China;WA72;Eisen und Stahl;624982,9;872518;1031050;456311,4;526658;619282
2018;China;WA73;Waren aus Eisen oder Stahl;226769,3;1580138;1869408;785275,7;2303317;2720570
2018;China;WA83;Verschiedene Waren aus unedlen Metallen;42330,7;558252;659593;160675,4;880176;1040091
2018;China;WA84;Maschinen, Apparate, mechanische Geräte;765913,8;20402688;24077561;1600109,0;24317828;28701011
2018;China;WA85;Elektrotechnische Erzeugnisse;242457,0;14724445;17381246;1110068,7;32177153;37909229
2018;China;WA86;Schienenfahrzeuge;44306,2;226651;268284;106065,6;117587;138609
2018;China;WA87;Kraftfahrzeuge, Landfahrzeuge;1284677,3;24000286;28376447;446529,1;2203974;2607492
2018;China;WA88;Luftfahrzeuge, Raumfahrzeuge;3919,3;4026318;4690871;232,9;75620;89183
2018;China;WA89;Wasserfahrzeuge;198238,8;85117;102004;489903,0;547089;651779
2018;China;WA90;Optische, photografische usw. Erzeugnisse;48078,0;7883792;9300061;96330,3;3396271;4007196
2018;China;WA98;Vollständige Fabrikationsanlagen;13434,5;371219;437372;0;0;0
2019;Belgien (ab 1999);WA27;Mineralische Brennstoffe usw.;3040312,1;1245984;1395168;8832130,4;4598821;5147285
2019;Belgien (ab 1999);WA28;Anorganische chemische Erzeugnisse;1388782,9;417206;467294;1277986,8;480578;538076
2019;Belgien (ab 1999);WA29;Organische chemische Erzeugnisse;2044290,3;2148727;2407020;2752052,2;4444308;5002588
2019;Belgien (ab 1999);WA30;Pharmazeutische Erzeugnisse;23559,9;3148875;3522177;31966,2;2326368;2602644
2019;Belgien (ab 1999);WA31;Düngemittel;615604,4;186964;209563;750164,6;191214;214443
2019;Belgien (ab 1999);WA33;Etherische Öle, Riech-, Schönheitsmittel;32688,8;226959;254056;25510,0;106668;119441
2019;Belgien (ab 1999);WA36;Sprengstoffe, pyrotechnische Artikel usw.;1572,7;4493;5015;483,0;7464;8360
2019;Belgien (ab 1999);WA37;Photochemische Erzeugnisse;23268,1;147887;166144;8706,8;64336;72033
2019;Belgien (ab 1999);WA38;Verschiedene Erzeugnisse der Chemischen Industrie;799323,0;1202821;1347418;952235,3;1189520;1331182
2019;Belgien (ab 1999);WA72;Eisen und Stahl;2911494,2;1903009;2131442;3836614,7;3069272;3440402
2019;Belgien (ab 1999);WA73;Waren aus Eisen oder Stahl;319058,5;877069;981987;275302,2;491797;550815
2019;Belgien (ab 1999);WA83;Verschiedene Waren aus unedlen Metallen;29946,3;262446;293861;2403,4;35957;40224
2019;Belgien (ab 1999);WA84;Maschinen, Apparate, mechanische Geräte;330728,0;5575334;6242384;146251,4;1789734;2003397
2019;Belgien (ab 1999);WA85;Elektrotechnische Erzeugnisse;119721,9;3229437;3616561;53250,0;881440;986475
2019;Belgien (ab 1999);WA86;Schienenfahrzeuge;4931,7;38293;42863;2335,1;14925;16750
2019;Belgien (ab 1999);WA87;Kraftfahrzeuge, Landfahrzeuge;666038,6;7756655;8683833;418401,8;4143127;4645247
2019;Belgien (ab 1999);WA88;Luftfahrzeuge, Raumfahrzeuge;546,3;117002;130985;2729,3;396751;444333
2019;Belgien (ab 1999);WA89;Wasserfahrzeuge;10046,8;13296;14935;635,7;13976;15661
2019;Belgien (ab 1999);WA90;Optische, photografische usw. Erzeugnisse;13243,6;1486000;1663799;7069,2;411985;461530
2019;Belgien (ab 1999);WA98;Vollständige Fabrikationsanlagen;0;0;0;0;0;0
2019;Frankreich;WA27;Mineralische Brennstoffe usw.;2057521,0;1083202;1214692;1706169,9;1518545;1698765
2019;Frankreich;WA28;Anorganische chemische Erzeugnisse;1281924,9;986414;1104529;1013813,2;862181;966009
2019;Frankreich;WA29;Organische chemische Erzeugnisse;1078088,7;2076519;2326724;559226,9;1117840;1251925
2019;Frankreich;WA30;Pharmazeutische Erzeugnisse;68105,6;4211596;4713897;94476,3;3358620;3754828
2019;Frankreich;WA31;Düngemittel;809956,0;189260;211965;123946,2;28408;31868
2019;Frankreich;WA33;Etherische Öle, Riech-, Schönheitsmittel;83156,6;786277;880575;139387,4;2029596;2271064
2019;Frankreich;WA36;Sprengstoffe, pyrotechnische Artikel usw.;4055,4;17243;19342;77,3;2973;3317
2019;Frankreich;WA37;Photochemische Erzeugnisse;6399,9;109245;122298;6130,3;163380;182870
2019;Frankreich;WA38;Verschiedene Erzeugnisse der Chemischen Industrie;723669,5;1868130;2093628;539946,7;1443474;1620406
2019;Frankreich;WA72;Eisen und Stahl;3356588,8;2267493;2540975;3577537,8;3075093;3443244
2019;Frankreich;WA73;Waren aus Eisen oder Stahl;950548,9;2431331;2723084;283586,3;961088;1076115
2019;Frankreich;WA83;Verschiedene Waren aus unedlen Metallen;58163,3;628708;704211;35527,3;208039;232862
2019;Frankreich;WA84;Maschinen, Apparate, mechanische Geräte;901273,0;16721686;18723977;536100,5;7976515;8927477
2019;Frankreich;WA85;Elektrotechnische Erzeugnisse;307643,5;8503334;9519965;245375,1;4692294;5256198
2019;Frankreich;WA86;Schienenfahrzeuge;17587,6;167215;186225;10716,2;68057;76162
2019;Frankreich;WA87;Kraftfahrzeuge, Landfahrzeuge;1328660,8;16326020;18274617;1025112,0;10261142;11488288
2019;Frankreich;WA88;Luftfahrzeuge, Raumfahrzeuge;20416,1;10604705;11875314;15122,7;5728464;6420556
2019;Frankreich;WA89;Wasserfahrzeuge;1355,7;36627;41157;1992,2;50731;56895
2019;Frankreich;WA90;Optische, photografische usw. Erzeugnisse;40758,9;4271651;4783746;22273,4;1875851;2099942
2019;Frankreich;WA98;Vollständige Fabrikationsanlagen;306,2;498;563;0;0;0
2019;Italien;WA27;Mineralische Brennstoffe usw.;463893,1;215806;241384;407816,4;256394;287158
2019;Italien;WA28;Anorganische chemische Erzeugnisse;485856,6;372274;416896;155157,6;612831;686566
2019;Italien;WA29;Organische chemische Erzeugnisse;842151,3;1544244;1730643;203563,9;1278334;1431706
2019;Italien;WA30;Pharmazeutische Erzeugnisse;39973,3;4120881;4614703;27950,1;2597160;2905093
2019;Italien;WA31;Düngemittel;179184,3;62207;69682;12446,7;10934;12286
2019;Italien;WA33;Etherische Öle, Riech-, Schönheitsmittel;53961,1;472518;529129;75179,5;627252;702081
2019;Italien;WA36;Sprengstoffe, pyrotechnische Artikel usw.;4632,5;18881;21121;22,1;152;170
2019;Italien;WA37;Photochemische Erzeugnisse;7964,9;88467;99021;438,1;8772;9827
2019;Italien;WA38;Verschiedene Erzeugnisse der Chemischen Industrie;414295,8;1310382;1468408;265457,2;623172;698001
2019;Italien;WA72;Eisen und Stahl;3803533,7;2108754;2362981;3178035,9;2753069;3085650
